Zona;Contrato;Uso;Direccion Suministro;Contador;Diametro;F.Instalacion;Marca;Emplazamiento;Edad
"	Z022";274777;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 1º, DH;42704;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";59199;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 1º, I;42705;15;01/04/2023;Sin Determinar;Sin determinar;1
"	Z022";268209;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 1º, IZ;42706;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274776;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 2º, D;42689;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274765;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 2º, IZ;42707;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274766;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 2º, IZ;42708;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274774;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 3º, D;42712;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274768;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 3º, IZ;42716;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";10067153;OBRAS;C/JESUS JUAN BERNABEU, Nº 3, Plt 4º, B;42717;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";9505967;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 4º, B;42718;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";58989;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 4º, D;42710;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267562;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt 4º, DH;42709;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268514;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt BAJO, D;42703;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274763;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt BAJO, DH;42700;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";59205;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 3, Plt BAJO, IZ;42701;15;01/04/2023;Sin Determinar;Sin determinar;1
"	Z022";275091;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, -CP-;42714;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";59210;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Plt 1º, D;42699;15;05/05/2023;Sin Determinar;Sin determinar;1
"	Z022";267716;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Plt 1º, IZ;42728;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";58933;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Plt 2º, B;42726;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";9198400;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Plt 2º, IZ;42727;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267793;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Plt 3º, DH;42660;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";275629;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Plt 4º, B;42720;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";58983;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Esc 1, Plt BAJO, F;40534;15;01/07/2020;Sin Determinar;Sin determinar;4
"	Z022";274797;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Plt BAJO, I;42719;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274781;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 5, Plt BAJO, IZ;42715;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268450;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, -CP-;42603;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";267070;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, Plt 04, D;42580;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";59247;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, Plt 1º, A;42584;15;06/10/2023;Sin Determinar;Sin determinar;1
"	Z022";274803;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, Plt 2º, I;42591;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268098;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, Plt 2º, IZ;42666;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";9674956;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, Plt 3º, D;42665;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274809;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, Plt 3º, DH;42587;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268329;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, Plt 4º, IZ;42593;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";274816;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 7, Plt BAJO, C;42344;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z022";268844;SERV. CONTRAINCENDIOS;C/JESUS JUAN BERNABEU, Nº 8, B.INC.;1622;65;30/04/2019;Sin Determinar;Sin determinar;5
"	Z022";268832;DOMÉSTICO;C/JESUS JUAN BERNABEU, Nº 8, -CP-;42874;15;01/01/2021;Sin Determinar;Sin determinar;3
