Zona;Contrato;Uso;Direccion Suministro;Contador;Diametro;F.Instalacion;Marca;Emplazamiento;Edad
"	1";58919;DOMÉSTICO; CM. DE LA VIRGEN, Nº 40;43229;15;10/03/2021;Sin Determinar;Sin determinar;3
"	1";275254;INDUSTRIAL; POL. INDUSTRIAL, Nº 71, BAJO;43457;25;19/02/2024;Sin Determinar;Sin determinar;0
"	1";266934;INDUSTRIAL; PTDA. EL PLA , Nº 12, Plt BAJO;40617;15;27/08/2020;Sin Determinar;Sin determinar;4
"	1";267525;INDUSTRIAL;AVDA. BENEJAMA (POL. INDUS.), Nº 11;43471;15;31/03/2024;Sin Determinar;Sin determinar;0
"	1";9965263;DOMÉSTICO;C/LA PALETA, Nº, 1;42233;15;01/10/2020;Sin Determinar;Sin determinar;4
"	1";59164;MUNICIPAL;C/SAN JOSE, Nº 2, Plt BAJO;2902;40;01/11/2022;Sin Determinar;Sin determinar;2
"	1";274961;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 15;40698;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";59274;DOMÉSTICO; CM. BUENOS AIRES, Nº 119;43468;15;10/04/2024;Sin Determinar;Sin determinar;0
"	Z010";59235;DOMÉSTICO; CM. BUENOS AIRES, Nº 6, BAJO;40827;15;01/10/2023;Sin Determinar;Sin determinar;1
"	Z010";59169;DOMÉSTICO; CM. BUENOS AIRES, Nº POL.21, PARCELA 566;43400;15;22/11/2022;Sin Determinar;Sin determinar;2
"	Z010";275571;DOMÉSTICO; CM. LA TOSQUERA , Nº 1;1927;30;30/04/2019;Sin Determinar;Sin determinar;5
"	Z010";3045690;DOMÉSTICO; CM. LA TOSQUERA , Nº 55;40819;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";9822520;DOMÉSTICO; CM. SANTUARIO, Nº 5;43283;15;01/04/2021;Sin Determinar;Sin determinar;3
"	Z010";267809;SERV. CONTRAINCENDIOS; CM. SANTUARIO, Nº 6, B.INC.;2115;65;30/04/2019;Sin Determinar;Sin determinar;5
"	Z010";273925;DOMÉSTICO;C/PASOS, Nº 12;40834;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275517;DOMÉSTICO;CM. BUENOS AIRES, Nº 1, BAJO;40810;15;14/09/2020;Sin Determinar;Sin determinar;4
"	Z010";3047625;DOMÉSTICO;CM. BUENOS AIRES, Nº 10;40837;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";273967;DOMÉSTICO;CM. BUENOS AIRES, Nº 11;40824;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275017;DOMÉSTICO;CM. BUENOS AIRES, Nº 12;40825;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275509;DOMÉSTICO;CM. BUENOS AIRES, Nº 13, BAJO;40823;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275515;DOMÉSTICO;CM. BUENOS AIRES, Nº 2, BAJO;40809;15;14/09/2020;Sin Determinar;Sin determinar;4
"	Z010";59161;DOMÉSTICO;CM. BUENOS AIRES, Nº 3;40820;15;01/10/2022;Sin Determinar;Sin determinar;2
"	Z010";275636;INDUSTRIAL;CM. BUENOS AIRES, Nº 4;1633;25;30/04/2019;Sin Determinar;Sin determinar;5
"	Z010";268318;DOMÉSTICO;CM. BUENOS AIRES, Nº 570;40822;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";268497;DOMÉSTICO;CM. BUENOS AIRES, Nº 576;40828;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275506;DOMÉSTICO;CM. BUENOS AIRES, Nº 8, BAJO;40835;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275015;DOMÉSTICO;CM. BUENOS AIRES, Nº 9;40836;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";275014;DOMÉSTICO;CM. CAMPANETA, Nº 1;43429;15;20/07/2023;Sin Determinar;Sin determinar;1
"	Z010";275018;DOMÉSTICO;CM. CAMPANETA, Nº 2;250;15;01/01/2020;Sin Determinar;Sin determinar;4
"	Z010";3045705;DOMÉSTICO;CM. LA TOSQUERA, Nº 2;40838;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";9732505;DOMÉSTICO;CM. LA TOSQUERA, Nº 56, PARCELA 4;40821;15;15/09/2020;Sin Determinar;Sin determinar;4
"	Z010";273914;DOMÉSTICO;CM. SANTUARIO, Nº 4;40833;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z010";273915;INDUSTRIAL;CM. SANTUARIO, Nº 6;1929;30;30/04/2019;Sin Determinar;Sin determinar;5
"	Z012";3030360;DOMÉSTICO; C/BALCON DE BIAR, Nº 29;40661;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274918;DOMÉSTICO; C/LA VIÑA, Nº 3;40583;15;26/08/2020;Sin Determinar;Sin determinar;4
"	Z012";59162;DOMÉSTICO; C/PICO DEL FRAILE, Nº 11;40623;15;01/10/2022;Sin Determinar;Sin determinar;2
"	Z012";59114;DOMÉSTICO; C/PICO DEL FRAILE, Nº 22;40654;15;01/03/2022;Sin Determinar;Sin determinar;2
"	Z012";274915;DOMÉSTICO; C/PICO DEL FRAILE, Nº 7;40621;15;03/09/2020;Sin Determinar;Sin determinar;4
"	Z012";59108;DOMÉSTICO; C/SALVIA , Nº 14;43370;15;01/02/2022;Sin Determinar;Sin determinar;2
"	Z012";3050365;DOMÉSTICO; C/SALVIA , Nº 4;40694;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";9995783;DOMÉSTICO; C/SALVIA , Nº 8;40695;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274958;DOMÉSTICO; PTDA. DEL FIGUERAL, Nº 13;40663;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274954;DOMÉSTICO;C/BALCON DE BIAR, Nº, 1;40693;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274952;DOMÉSTICO;C/BALCON DE BIAR, Nº, 25;40650;15;07/09/2020;Sin Determinar;Sin determinar;4
"	Z012";267333;DOMÉSTICO;C/BALCON DE BIAR, Nº, 26;40652;15;07/08/2020;Sin Determinar;Sin determinar;4
"	Z012";274949;DOMÉSTICO;C/BALCON DE BIAR, Nº, 28;40664;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";9205568;DOMÉSTICO;C/BALCON DE BIAR, Nº, 3;40649;15;07/09/2020;Sin Determinar;Sin determinar;4
"	Z012";9861110;DOMÉSTICO;C/BALCON DE BIAR, Nº 27;40651;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274908;DOMÉSTICO;C/BARRANQUET, Nº, 1;40601;15;03/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274957;DOMÉSTICO;C/BONAVISTA, Nº, 20;40653;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274917;DOMÉSTICO;C/LA VIÑA, Nº, 1;40585;15;26/08/2020;Sin Determinar;Sin determinar;4
"	Z012";274922;DOMÉSTICO;C/LA VIÑA, Nº, 11;40581;15;26/08/2020;Sin Determinar;Sin determinar;4
"	Z012";268636;DOMÉSTICO;C/LA VIÑA, Nº, 5;40584;15;26/08/2020;Sin Determinar;Sin determinar;4
"	Z012";274921;DOMÉSTICO;C/LA VIÑA, Nº, 9;40692;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";59116;DOMÉSTICO;C/LA VIÑA, Nº 7;40582;15;08/03/2022;Sin Determinar;Sin determinar;2
"	Z012";274909;DOMÉSTICO;C/PICO DEL FRAILE, Nº 10;40624;15;03/09/2020;Sin Determinar;Sin determinar;4
"	Z012";59014;DOMÉSTICO;C/PICO DEL FRAILE, Nº 15;40579;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z012";274959;DOMÉSTICO;C/PICO DEL FRAILE, Nº 18;40659;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274956;DOMÉSTICO;C/PICO DEL FRAILE, Nº 19;40662;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274947;DOMÉSTICO;C/PICO DEL FRAILE, Nº 30;40647;15;07/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274945;DOMÉSTICO;C/PICO DEL FRAILE, Nº 32;40645;15;07/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274944;DOMÉSTICO;C/PICO DEL FRAILE, Nº 33;40646;15;01/09/2020;Sin Determinar;Sin determinar;4
"	Z012";9929125;DOMÉSTICO;C/PICO DEL FRAILE, Nº 34;40648;15;07/09/2020;Sin Determinar;Sin determinar;4
"	Z012";59147;DOMÉSTICO;C/PICO DEL FRAILE, Nº 5;40620;15;16/08/2022;Sin Determinar;Sin determinar;2
"	Z012";274914;DOMÉSTICO;C/PICO DEL FRAILE, Nº 9;43452;15;19/02/2024;Sin Determinar;Sin determinar;0
"	Z012";274943;DOMÉSTICO;C/PICO DEL FRAILE, Nº S/N;40658;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274968;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 10;40708;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274964;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 12;40702;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";275131;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 14;40699;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274960;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 17;40660;15;08/09/2020;Sin Determinar;Sin determinar;4
"	Z012";267282;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 2, BIS;40726;15;10/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274963;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 3;40701;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274399;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 34;40700;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";275584;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 35, Plt BAJO;40718;15;10/09/2020;Sin Determinar;Sin determinar;4
"	Z012";275079;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 36;40717;15;10/09/2020;Sin Determinar;Sin determinar;4
"	Z012";275592;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 4;40703;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";275603;OBRAS;PTDA. DEL FIGUERAL, Nº 5, Plt BAJO;40707;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274965;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 6;40704;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274966;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 7;40705;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";274967;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 8;40706;15;09/09/2020;Sin Determinar;Sin determinar;4
"	Z012";267988;DOMÉSTICO;PTDA. DEL FIGUERAL, Nº 9;40716;15;10/09/2020;Sin Determinar;Sin determinar;4
"	Z012";275088;DOMÉSTICO;PTDA. LA FORCA, Nº 1;40715;15;10/09/2020;Sin Determinar;Sin determinar;4
"	Z014";275009;DOMÉSTICO; CM. CABESOLS, Nº 20, BIS;41129;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";9727307;DOMÉSTICO; CM. CABESOLS, Nº 53, POL. 8;41190;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";10044602;DOMÉSTICO; CM. DE LA SALSETA, Nº 129, POL. 7;41191;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";9725381;DOMÉSTICO; CM. DE LA SALSETA, Nº 130, POL. 7;41186;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";8917788;DOMÉSTICO; CM. DE LA SALSETA, Nº 192;41253;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";8843390;DOMÉSTICO; CM. DE LA SALSETA, Nº 212, CASA;40910;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";273639;DOMÉSTICO; CM. DE LA SALSETA, Nº 4;40852;15;24/09/2020;Sin Determinar;Sin determinar;4
"	Z014";3030243;DOMÉSTICO; CM. DE LA SALSETA, Nº 8, 203;41070;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";59296;DOMÉSTICO; CTRA. ALCOY, Nº KM38,2, CTRA. ALCOY-VILLENA KM.38,2;43472;15;16/04/2024;Sin Determinar;Sin determinar;0
"	Z014";58927;DOMÉSTICO; PTDA. CORRAL DE TADEO, Nº 22;43249;15;23/03/2021;Sin Determinar;Sin determinar;3
"	Z014";59123;DOMÉSTICO; PTDA. CORRAL DE TADEO, Nº 7, POL 7 PARCELA  39;43378;15;16/05/2022;Sin Determinar;Sin determinar;2
"	Z014";59090;DOMÉSTICO; PTDA. CORRAL DE TADEO, Nº POL. 7, PARCELA 226;43352;15;01/10/2021;Sin Determinar;Sin determinar;3
"	Z014";268671;DOMÉSTICO; PTDA. LA CANYA, Nº 32;41151;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274991;INDUSTRIAL;CM. CABESOLS, Nº 1;759;13;30/04/2019;Sin Determinar;Sin determinar;5
"	Z014";274993;DOMÉSTICO;CM. CABESOLS, Nº 10;40922;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";267003;DOMÉSTICO;CM. CABESOLS, Nº 100;41192;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274995;DOMÉSTICO;CM. CABESOLS, Nº 11;40915;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274994;DOMÉSTICO;CM. CABESOLS, Nº 12;40907;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274996;DOMÉSTICO;CM. CABESOLS, Nº 13;40905;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274997;DOMÉSTICO;CM. CABESOLS, Nº 14;40917;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274999;DOMÉSTICO;CM. CABESOLS, Nº 15;41147;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";59148;DOMÉSTICO;CM. CABESOLS, Nº 16;40904;15;11/08/2022;Sin Determinar;Sin determinar;2
"	Z014";8602018;DOMÉSTICO;CM. CABESOLS, Nº 167, POLIGONO 8;41187;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";9578169;DOMÉSTICO;CM. CABESOLS, Nº 17;40913;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275666;DOMÉSTICO;CM. CABESOLS, Nº 18;41193;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";267084;DOMÉSTICO;CM. CABESOLS, Nº 19;41118;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";267381;DOMÉSTICO;CM. CABESOLS, Nº 19, Plt BAJO;41145;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";59275;DOMÉSTICO;CM. CABESOLS, Nº 2;41087;15;06/02/2024;Sin Determinar;Sin determinar;0
"	Z014";275001;DOMÉSTICO;CM. CABESOLS, Nº 20;41134;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275002;DOMÉSTICO;CM. CABESOLS, Nº 21;41128;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275004;DOMÉSTICO;CM. CABESOLS, Nº 22;41105;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275000;DOMÉSTICO;CM. CABESOLS, Nº 23;41188;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268229;DOMÉSTICO;CM. CABESOLS, Nº 24;41133;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";9147741;DOMÉSTICO;CM. CABESOLS, Nº 25;41131;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275005;DOMÉSTICO;CM. CABESOLS, Nº 26;41116;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275006;DOMÉSTICO;CM. CABESOLS, Nº 27;41132;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";267437;DOMÉSTICO;CM. CABESOLS, Nº 29;40943;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275439;DOMÉSTICO;CM. CABESOLS, Nº 3;41086;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275713;DOMÉSTICO;CM. CABESOLS, Nº 31;41146;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268664;DOMÉSTICO;CM. CABESOLS, Nº 32;40921;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275370;DOMÉSTICO;CM. CABESOLS, Nº 34, Plt BAJO;41149;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274992;INDUSTRIAL;CM. CABESOLS, Nº 4;716;25;30/04/2019;Sin Determinar;Sin determinar;5
"	Z014";267098;SERV. CONTRAINCENDIOS;CM. CABESOLS, Nº 4, B.INC;43375;80;21/03/2022;Sin Determinar;Sin determinar;2
"	Z014";275219;DOMÉSTICO;CM. CABESOLS, Nº 48;41090;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";58964;DOMÉSTICO;CM. CABESOLS, Nº 49;41150;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275126;DOMÉSTICO;CM. CABESOLS, Nº 5;41152;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";59207;DOMÉSTICO;CM. CABESOLS, Nº 54, POLIGONO 8;41185;15;01/04/2023;Sin Determinar;Sin determinar;1
"	Z014";268909;DOMÉSTICO;CM. CABESOLS, Nº 57;41184;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268921;DOMÉSTICO;CM. CABESOLS, Nº 58, ALBERGUE;41189;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";9036694;DOMÉSTICO;CM. CABESOLS, Nº 8, PARCELA 220;40925;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";3035094;DOMÉSTICO;CM. CABESOLS, Nº 8, POLIGONO 8;41130;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274615;DOMÉSTICO;CM. CABESOLS, Nº 9;40909;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";59010;DOMÉSTICO;CM. CABESOLS, Nº POL 8, PARCELA 269;42405;15;01/01/2021;Sin Determinar;Sin determinar;3
"	Z014";9283255;OBRAS;CM. CABESOLS, Nº S/N, POL 8;41091;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";8913333;DOMÉSTICO;CM. CASTELLANOS, Nº, 12;40830;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275382;DOMÉSTICO;CM. CASTELLANOS, Nº 2;40799;15;21/09/2020;Sin Determinar;Sin determinar;4
"	Z014";267845;DOMÉSTICO;CM. CASTELLANOS, Nº 35;41242;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275150;DOMÉSTICO;CM. DE LA SALSETA, Nº, 13;40939;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275151;DOMÉSTICO;CM. DE LA SALSETA, Nº, 14;40940;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275158;DOMÉSTICO;CM. DE LA SALSETA, Nº 1;41067;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275575;DOMÉSTICO;CM. DE LA SALSETA, Nº 10, POL. 7 PARCELA 115;41247;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275146;DOMÉSTICO;CM. DE LA SALSETA, Nº 12;40638;15;07/07/2020;Sin Determinar;Sin determinar;4
"	Z014";275152;DOMÉSTICO;CM. DE LA SALSETA, Nº 15;42239;15;03/12/2020;Sin Determinar;Sin determinar;4
"	Z014";275149;DOMÉSTICO;CM. DE LA SALSETA, Nº 16;41250;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275201;DOMÉSTICO;CM. DE LA SALSETA, Nº 17;41245;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275740;OBRAS;CM. DE LA SALSETA, Nº 19;41251;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268042;DOMÉSTICO;CM. DE LA SALSETA, Nº 190;41252;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275147;DOMÉSTICO;CM. DE LA SALSETA, Nº 2;41072;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";8625001;DOMÉSTICO;CM. DE LA SALSETA, Nº 207, CASA;40923;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268645;DOMÉSTICO;CM. DE LA SALSETA, Nº 210;40944;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";267742;DOMÉSTICO;CM. DE LA SALSETA, Nº 213;41246;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268677;OBRAS;CM. DE LA SALSETA, Nº 214;41249;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268435;DOMÉSTICO;CM. DE LA SALSETA, Nº 222;41071;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268510;DOMÉSTICO;CM. DE LA SALSETA, Nº 228;41144;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";8570376;DOMÉSTICO;CM. DE LA SALSETA, Nº 3;41244;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275145;DOMÉSTICO;CM. DE LA SALSETA, Nº 5;41065;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";267663;DOMÉSTICO;CM. DE LA SALSETA, Nº 7;41066;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275635;DOMÉSTICO;CM. DE LA SALSETA, Nº 8, BAJO;40926;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";59042;DOMÉSTICO;CM. DE LA SALSETA, Nº 8, POL 8 PARCELA 206;42749;15;01/02/2021;Sin Determinar;Sin determinar;3
"	Z014";275574;DOMÉSTICO;CM. DE LA SALSETA, Nº 9, Plt BAJO;41248;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268063;DOMÉSTICO;CM. SECANET, Nº, 31;41161;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";267159;OBRAS;CM. SECANET, Nº 19;40845;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";59222;DOMÉSTICO;CM. SECANET, Nº 4;41241;15;01/07/2023;Sin Determinar;Sin determinar;1
"	Z014";274981;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº, 16;41073;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275023;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 1;40831;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275460;OBRAS;PTDA. CORRAL DE TADEO, Nº 1, BAJO;40942;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275080;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 11;42241;15;03/12/2020;Sin Determinar;Sin determinar;4
"	Z014";268932;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 13;41162;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274983;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 14;41143;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";267445;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 15;43328;15;21/09/2021;Sin Determinar;Sin determinar;3
"	Z014";9911226;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 18;40941;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275390;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 2;40851;15;21/09/2020;Sin Determinar;Sin determinar;4
"	Z014";275744;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 23;41240;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275269;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 24, BAJO;41153;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";59076;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 25;41155;15;01/07/2021;Sin Determinar;Sin determinar;3
"	Z014";267468;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 26, BAJO;41234;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274976;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 27;41156;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268211;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 28;41139;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274979;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 29;41074;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268248;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 3;40829;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274975;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 30;41160;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275283;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 31;41154;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274970;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 33;41243;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274971;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 34;41237;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274972;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 35;41238;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268130;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 36;41236;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275357;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 38, BAJO;41137;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275184;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 38, Plt BAJO;40849;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268093;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 40;41235;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275027;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 41;41164;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";268811;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 42;40844;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275214;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 43;40846;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275028;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 45;41136;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275026;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 46;41140;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275029;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 47;41141;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275638;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 48;41159;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";274978;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 49;41158;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275234;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 5, BAJO;41135;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275082;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 51;41068;15;01/10/2020;Sin Determinar;Sin determinar;4
"	Z014";275202;DOMÉSTICO;PTDA. CORRAL DE TADEO, Nº 52;41069;15;01/10/2020;Sin Determinar;Sin determinar;4
